REFNUM	Days	EVTYPE	STATE	FATALITIES	INJURIES	Property	Crop	REMARKS
187564	1993-03-12	WINTER STORM	AL	4	0	5e+09	0	What most called the worst winter storm in Alabama history struck Friday afternoon and lasted until mid-day Saturday.  Snow began falling over north Alabama Friday afternoon, then spread southward overnight, reaching all the way to the Gulf Coast.  The storm was caused by a strong and massive low pressure system that moved from the western Gulf of Mexico into the Florida panhandle, and up the Eastern Seaboard.  The heaviest snow began after midnight when northerly winds of 40 to 55 mph became common.  Frequent lightning discharges occurred for several hours giving an eerie blue-tinged glow to the atmosphere.  By mid-day Saturday snow had accumulated to 6 to 12 inches over North Alabama and 2 to 4 inches at the Gulf Coast.  A 40-mile-wide band of 12 to 20 inches fell from the Birmingham area northeastward to DeKalb and Cherokee counties, generally following the Appalachian Mountains.  High winds combined with the heavy wet snow, felled numerous trees and knocked down power lines over a wide area.  Numerous roads became impassable, and hundreds of thousands of homes were without power.  It was estimated that 400,000 homes were without electricity, and many remained so for several days.  Compounding the snow and power problems, temperatures fell well into the single digits and teens across much of the state Saturday night.  For example, the temperature at the Birmingham Airport fell to 2 degrees, the coldest March temperature ever recorded.  Only 4-wheel drive vehicles could barely maneuver roads, and some roads in north Alabama remained impassable until the following Tuesday.  The snow and high winds knocked many radio and television stations off the air, and severely hampered emergency personnel responding to fires, stranded motorists, and those in dire need of medical attention.  As if the snow, high winds, and extreme cold were not enough, many large trees fell onto homes and businesses.  Numerous awnings, and roofs collapsed under the weight of the heavy snow.  There were at least 14 deaths associated with the exposure or stress due from the storm.  One person froze to death in their home.  Six people died because of abandoned or disabled vehicles.  Seven more people died outside due to exposure.  One of the seven died while waiting in a bus shelter for a bus.  Most of the damage estimates were at least $50 million.  Some estimates ranged between $80 and $100 million.  The following is a categorical list of the sex and ages of some of those who died.  The age and sex of five of the victims was not available. (M172P) (M74O)(M60O)(F82O)(M52O)(F80O)(F72O)(M69O)(M50O) 
188633	1995-08-20	HEAT	AL	0	0	0	4e+08	Hot, dry weather was a problem for Alabama throughout the month.  New record high temperatures were set in a number of cities with Critical Heat Alerts in effect for many days during the month.  Birmingham, for example, hit 100 degrees or higher on seven consecutive days from the 13th to the 19th as well as setting  seven new record high temperatures.  At least one county school system, Marshall County, delayed opening schools for one week because of the heat.  One of the industries hit hardest by the heat was agriculture.  Unfortunately, the effects of a hot period are sometimes not fully known until months later.  The poultry industry was hit hard along with a number of crops including tomatoes, cotton, peanuts, and cattle.  The $400 million crop damage is just an estimate. 
192268	1993-10-26	HIGH WINDS	CA	0	89	3.31e+08	0	Strong winds from 20 to 50 mph, hit many areas of southern California.  A gust of 76 mph was reported at the Rialto Airport, in San Bernardino County.  In many canyon areas winds were estimated at over 60 mph.  Winds at Sandberg, in the Tehachapi Mountains, were from 25 to 30 mph, Blythe, in the southern deserts, 35 to 45 mph, in the coastal and valley areas, 25 mph at March Air Force Base, Van Nuys Airport 25 mph, John Wayne Airport 30 mph, Ontario Airport 35 mph and 47 mph at Chino Airport.  These warm and dry Santa Ana winds caused many arson set fires to spread rapidly through the very dry vegetation.  The fires were in the coastal canyons and foothills from Ventura County in the north, to San Diego County in the south.  There were a total of 13 fires, with about 153,000 acres burned and an estimated 540 structures damaged or destroyed.  The highest loss of structures was 366, at Laguna Canyon in Orange County, where 16,682 acres burned.  In many of the fire areas where there were subdivisions, thousands of people had to be evacuated from homes, businesses, hospitals and schools.  At one point some 9,476 firefighters were fighting the fires, throughout southern California. 
192271	1993-11-01	WILD FIRES	CA	3	150	6.19e+08	0	Brush fires swept through canyons and foothills in coastal and valley areas, from Ventura to San Diego Counties. Strong gusty Santa Ana winds caused many arson set fires to spread very quickly, through the dry vegetation.  About 46,000 acres were burned and some 350 homes damaged or destroyed, in Los Angeles, Riverside, Ventura, San Bernardino and San Diego counties.  The most homes destroyed were in the Malibu and Calabasas areas of Los Angeles County.  Many thousands of people were evacuated.  Two people were found burned in their truck on a remote ranch in the Calabasas area.  The third fire victim is unknown. (M88O) (F67O) (?) 
192465	1995-03-10	FLOOD	CA	0	0	0	3e+08	Record Flood of 24 feet on the Salinas river near Bradley in Monterey County.  Record flood of 30.5 feet on the Salinas River Near Salinas on the 12th at 1400 PST.  Widespread road closures including all access to Monterey.  Widespread flooding of agricultural land and crops.  
194464	1995-08-02	HURRICANE ERIN	FL	3	0	0	1.3e+08	The center of Hurricane Erin came ashore near Vero Beach around 0100 EST and moved northwest across Indian River County into Osceola, Orange and Lake Counties. The minimal category one hurricane caused widespread wind damage mostly in Brevard County. On land there were no deaths or serious injuries in east central Florida directly related to the hurricane, although a St. Lucie County man was crushed to death by stack a of plywood while preparing his home for the storm in Ft. Pierce. The 235-foot gambling ship Club Royale out of Palm Beach capsized and sank about 90 miles east of Cape Canaveral. Eight crew members were rescued by the United States Coast Guard. Three crew members including the Captain were lost. Spiral bands around Erin's center spawned strong east and then southeast winds in Brevard County. The greatest damage was along the coast from Cape Canaveral to Sebastian Inlet including the towns of Satellite Beach, Indian Harbor Beach and Melbourne Beach. Dozens of large high rise hotels and condominiums suffered major damage to roofs and some walls. Almost all had major water damage due to wind driven rain. Numerous smaller structures such as grocery stores, restaurants and homes also were severely damaged or destroyed by wind along the beaches. A tug boat sank in Port Canaveral as did a few other small boats in other marinas.  In Brevard County 37 structures were destroyed, 81 sustained major damage with 443 reporting minor damage. Two houses were destroyed by fires that were started by downed power lines. Five airplanes were damaged at Melbourne International Airport. The WSR-88D Doppler Radar in Melbourne measured winds near 90 mph along the coast of Brevard County. Wind gusts of 76 and 70 MPH were recorded at the Melbourne and Vero Beach airports respectively.  Inland, widespread minor structural damage to buildings and damage due to fallen trees extended from central Brevard County to the greater Orlando area.  In Osceola County the roof was blown off a fire station in Kissimmee. About 24 buildings, mostly mobile homes, were severely damaged by falling trees. Many streets were flooded. Numerous fallen trees and large limbs damaged houses and cars in Orlando. 
194931	1995-08-03	HURRICANE ERIN	FL	0	0	2.3e+08	5e+06	Hurricane Erin moved across the Gulf of Mexico on August 2 and 3 and turned toward the Northwest Florida coast early Thursday morning.  The center of the storm moved ashore at 0920 CST along Santa Rosa Island along Highway 399 between the National Seashore Day Use Center and the west end of Navarre Beach.  Erin then moved across the city of Pensacola and moved into Baldwin County Alabama near Interstate 10 and the Perdido River.  As Erin moved through Northwest Florida, trees and power lines were blown down and many homes were damaged.  Preliminary damage estimates were $230 million.  More than 2,000 homes were damaged and the power companies estimated that 63 percent of their customers were without power.  Crops also suffered damage with about half of the cotton and 20 to 25 percent of the Pecan crop damaged.  Erin had a broad eye (around 15 miles) as it moved ashore.  Most of the damage from the storm occurred on the east side of the storm.  At least four tornadoes were reported from the storm.  Most of the tornadoes were short lived.  The center of a hurricane had not moved across the Pensacola area since 1926.  Highest wind speeds measured as Erin moved ashore were at the Pensacola Naval Air Station where a sustained wind of 63 mph with gusts to 101 mph were recorded.  Other wind speeds across Northwest Florida were 80 mph with gusts to 97 mph at Hurlburt Field in Mary Esther.  Whiting Field (Navy) in Milton 50 mph with gusts to 58 mph and around the Pensacola Regional Airport 71 mph with gusts to 90 mph.  Highest storm surge was just east of where the storm moved ashore (west part of Navarre Beach) and was six to seven feet.  Storm surge along Pensacola Beach was three to four feet.  The most rainfall was in the Mary Esther area where about four inches of rain fell in a twenty-four hour period.  Milton had 3.76 inches of rain and Pensacola had 2.19 inches.  Lowest sea level pressure was at Pensacola Naval Air Station where 976 mb was recorded. 
194932	1995-10-03	HURRICANE OPAL	FL	1	0	2.1e+09	5e+06	Hurricane Opal moved across the Gulf of Mexico on October 3 and 4.  The spiral bands started affecting the Northwest Florida area Tuesday and continued until the storm moved ashore Wednesday afternoon.  The center of the storm moved ashore at almost the same location as Hurricane Erin did about two months before.  The center of Opal (about five miles in diameter) was much smaller than Erin and was not as easily identifiable.  Opal intensified to a category 4 hurricane early Wednesday morning and diminished to a category 3 at the time of landfall.  Opal moved ashore near Navarre Beach at around 1600 CST.  Opal moved rapidly through Northwest Florida during the afternoon and evening hours on Wednesday and moved into southwest Alabama near the Escambia-Covington County line.  Most of the damage from Opal in Northwest Florida was from the devastating storm surge.  In many places from Navarre Beach to Destin, some of the protecting dunes were washed away.  Opal destroyed most of the homes that were facing the gulf from Navarre Beach to east of Destin.   Preliminary  damage estimates were $2.1 billion dollars.  Almost 300 homes were destroyed with another 1,000 homes suffering major damage.  Crop damage was estimated at $5 million dollars, mostly in northern Santa Rosa and northern Okaloosa Counties.  It was estimated that $50 million in damage was done to recreational boats.  Almost 1,000 boats were damaged.  In addition about 70 boats had been lost or sunknownen.  Several tornadoes were reported with an elderly female dying in an F2 tornado near Crestview (see below  on the 4th at 1130 CST).   As Opal moved north, most of the damage was around and east of the center of the storm.  Estimated sustained wind speeds were 115 mph as Opal moved ashore with the highest observed wind speeds at 83 mph gusting to 144 mph at Hurlburt Field in Mary Esther.  Other wind speeds across Northwest Florida were 62 mph with gusts to 71 mph at Pensacola airport, 59 mph with gusts to 77 mph at Pensacola Naval Air Station and 80 mph with gusts to 115 mph at Eglin AFB in Valparaiso.  Highest storm surges were 10 to 15 feet from Navarre Beach to east of Destin with eight to 12 feet on Santa Rosa Island from Fort Pickens to east of Pensacola Beach.  The surge destroyed highway 399 that runs from Pensacola Beach to Navarre Beach.  U.S. Highway 98 between Fort Walton Beach and Destin was also destroyed.   Storm surges of six to eight feet were also observed in the inland bays from Pensacola to Choctawhatchee Bay.  The most rainfall in Opal occurred at Ellyson Field where 15.45 inches fell on October 3 and 4.  Lowest sea level pressure was 955 mb at Pensacola Naval Air Station. 
194933	1993-03-12	TORNADOES, TSTM WIND, HAIL	FL	25	0	1.6e+09	2500000	Tornadoes, Thunderstorm Winds, Hail, Storm Surge, Flooding, Beach Erosion, Snow The "Storm Of The Century" roared across Florida producing a variety of severe and unusual weather conditions for a period of about 18 hours from late Friday the 12th through late afternoon Saturday the 13th.  A severe squall line raced eastward at 50 mph ahead of an intense low producing several tornadoes and strong downbursts as it moved through the state and directly caused seven fatalities.  This was followed by a hitherto unknown  (for the Gulf Coast) winter storm surge of 9 to 12 feet onto the gulf coast in Taylor County, with storm surges and/or tidal and wind driven flooding of 5 to 9 feet elsewhere along the gulf coast of the state and into the lower Keys.  This was followed by a period of 8 to 12 hours of high sustained winds of up to 50 mph with gusts to 70 mph, keeping tides much above normal along the west coast and causing severe beach erosion in many areas.  Total number of fatalities from the storm was 47, including 14 from storm surge and flooding, seven from tornadoes and/or strong downbursts, and four from high winds in the aftermath of the squall line.  Eleven people drowned offshore in the Gulf of Mexico after strong winds swamped or capsized ships  (including seven crewmen from a 200-foot Honduran freighter).  Eleven others died during rescue operations and cleanup activities.  Meanwhile, colder air poured in behind the intense low with up to four inches of snow falling in the panhandle from north of Pensacola to Crestview, and a trace to 3 inches elsewhere across north Florida.  Record or near record low temperatures occurred over much of the state the following two nights.  Total property damage was estimated at $1.6 billion. 
194939	1995-10-04	HURRICANE OPAL	FL	0	0	1e+09	0	Opal, the strongest Hurricane to hit the Florida Panhandle in 20 years, made landfall near Fort Walton Beach during the early evening. By far the greatest amount of damage occurred due to storm surge along the beaches of Walton, Bay, and Gulf Counties with a decreasing degree of storm surge damage in Franklin, Wakulla, Taylor and Dixie Counties. Inland areas from the Apalachicola river west received varying degrees of wind damage with the most significant damage in Walton, Bay, Washington and Holmes. High water marks, storm surge plus waves, were measured over 25 feet high along parts of the Walton county coast. In Panama City, the storm tide was measured by gage to a level of 6.92 feet while a gage in Apalachicola rose to 6.40 feet. In Walton County, hardest hit areas were Santa Rosa Beach and Sandestin where a reported 50 percent of homes were damaged or destroyed.  Panama City Beach, in Bay County, reported about 25 percent of homes and businesses were a total loss. In easternmost Bay County, Mexico Beach suffered severe storm surge damage with a high percentage of beachfront buildings destroyed. Further  east, Gulf County saw its worst damage along the St Joseph Peninsula and Cape San Blas where a large percentage of homes were damaged or destroyed. Franklin County escaped major damage with several businesses receiving minor flooding in Apalachicola.  Out on St George island, Bruce State Park received serious damage to its beachfront access road and its buildings-causing the park to be closed for an extended period. Wakulla County endured flooding of several homes and businesses.  Damage along the coastlines of Taylor and Dixie counties was confined to mainly minor flooding of low lying buildings along the waterfronts as well as some road damage. No confirmed deaths or injuries were directly attributable to the storm.  One man was fatally injured in DeFuniak Springs when a tree fell on him as he was clearing debris from his yard. (Damage figure estimated.) 
198375	1993-08-31	RIVER FLOOD	IL	0	0	5e+09	5e+09	and Southwest  Illinois,The Great Flood of '93 continued into its second month as the Mississippi, Illinois, and Kaskaskia Rivers reached their peaks early in the month and then began a very slow fall.  Most points along the rivers were still above flood stage at the end of August.  The information in this entry should be treated as a continuation of the July entry.                      Flood Stage  Record  Date  Old Record  Date  Grafton, Illinois:      18       38.15   8/1    33.12    4/28/73 Alton, Illinois:         21       42.71   8/1    36.6     4/29/73 Chester, Illinois:      27       49.69   8/7    43.3     4/30/73  Life along the rivers slowly moved a bit toward normal during August, but for most, normal life along the rivers will never return.  As the water receded at the end of August, the damage became plainly visible.  Destroyed homes and businesses, were the rule, not the exception.  While there was some talk of rebuilding, a growing number of people were seriously considering giving the floodplains back to the rivers and moving to higher ground.  The National Weather Service (NWS) would like to compliment Mr.  Robert Lindemann and Mr.  Charles Staley, two employees on loan to the NWS from the Federal Aviation Administration, who gathered much of the information in this report. Adams County,On Wednesday (August 4) a ferry shuttle was set up on the Mississippi River between Quincy and La Grange since the bridges between Missouri and Illinois were still closed.  Two pontoon boats, carrying more than 40 people each, connected with shuttle busses waiting at the designated landing points. On August 31, the Mississippi River was still 2 feet above flood stage at Quincy.  Calhoun County,On Monday (August 2) officials of Calhoun County reported there were 880 people displaced, up from the 584 counted July 22.  The flood had hit 220 homes and 60 businesses.  At Hardin Sunday (August 1) a levee protecting the town water plant gave way, closing the water plant until the levee was repaired and the floodwater was pumped out.  As of Tuesday (August 10) the boil order remained in effect in Hardin.  On Friday (August 27) the Hardin airlift, a month long effort by National Guard helicopter crews, unloaded their last load.  Reopened Illinois Highway 100 through Kampsville south to Hardin allowed daily food and supplies to be delivered by truck.  The Hardin bridge over the Illinois River remained closed as 7 feet of water was still in East Hardin.  At Kampsville, a sandbag levee protecting the American Archaeological Center broke Tuesday morning (August 3).  Two buildings in the complex, two homes and a business were quickly flooded, however the eleven million prehistoric artifacts were spared.  To date, 13 of the 17 buildings the Center owns had been flooded.  Wednesday (August 4) about 30 homes were flooded and every business was closed in Kampsville due to the Tuesday levee break.  Tuesday (August 10) the boil orders remained in effect in Kampsville. Jersey County,On Sunday (August 1) the mayor of Grafton said his town's water plant was pumping river water spiked with a heavy dose of chlorine.  Residents were warned to use the water only for bathing and flushing toilets.  Floodwater was still rising at Grafton at that time.  The boil order for Jersey County Rural Water District was canceled Friday (August 20).  Thursday ((August 19) a Grafton Alderman said too many of the town's 109 homes are still under water to begin any buy out applications.  Madison County,The Mississippi swamped the landfill on Chouteau Island near Granite City Monday (August 2).  On Sunday (August 1) the water plant at Alton and 12 businesses were flooded when water pushed beneath a buckled street and into low-lying parts of downtown.  Water service was cut off to 72,000 customers.  The levee protecting the older portion of downtown failed in the 200 block of Piasa Street.  By Sunday night the river had taken buildings 3 blocks up from the river and was still climbing.  By Monday (August 2) Alton city officials estimate that Sunday's downtown flooding of a 3 square block area would cost about $4 million just to repair the streets, sidewalks and sewers.  Seventy-five businesses were flooded.  The Alton water plant resumed operation Friday (August 6) but the quality of the water was only suitable for flushing toilets.  As of Sunday (August 8) about 2.3 million gallons of water had been brought in by truck and distributed since the city's water plant was flooded on July 27.  The Illinois-American Water Company in Alton reported Saturday afternoon (August 14) that they had restored water service to all customers in Alton, Godfrey, Brighton, Elsah and Fosterburg.  A company spokesperson said the water was still not safe to drink even if boiled.  By Friday (August 20) a boil water order was lifted for residents of Alton, Brighton, Godfrey, Bunker Hill, Cottage Hills and the Forest Homes - Maple Park water district.  Some distant reaches of the water network were still affected by the boil order as more time was needed to flush out the system.  The mayor's office at Alton advised on Saturday (August 28) that the flood had damaged 45 businesses and 3 vacant buildings.  Monroe County ,On Sunday (August 1) the Columbia levee broke flooding farms and 15,000 acres of farmland in the Columbia Bottoms area.  Some 65 homeowners in the Columbia Bottoms area fled Saturday night prior to the break.  Another levee break late Sunday, the second to fail in less than a day displaced about 1,800 people.  Sunday (August 8) officials estimated that 70,000 acres have been flooded in Monroe County, including 900 homes.  Monroe County officials advised on Wednesday (August 18) that the Federal levee along the Mississippi River will be rebuilt to the pre-flood level of 38 feet.  The Army Corps of Engineers call this a 10 year flood level.  The county would like the levee raised to a 100 year flood level and the Corps had agreed to make a study of its economic viability by 1995.  The Columbia mayor said Thursday (7-26) that 65 homes in the Bottoms area outside of the city limits were flooded.  Residents of about 20 of those homes have been able to return.  At Valmeyer, the Fountain Creek levee standing between the floodwater and the town, had water lapping at the top of the levee on Sunday (8/1/92).  The south levee at the creek had been raised to 51 feet by rock and sandbags.  The levee broke north of Valmeyer Monday (August 2) and began drowning the hopes of nearly all the 900 residents, confounding weeks of work and prayer.  The  Valmeyer School District planned to set up school in two portable buildings on the Monroe County Fairgrounds 4 miles east of Valmeyer.  More than 400 students in the district of 550 students have been displaced by the flood.  On August 26, the Mayor of Valmeyer said floodwater damaged 346 of the 350 homes in town and 8 of the 12 businesses.  Around 60% of the property owners had flood insurance.  Despite the flood insurance, many people talked of not returning, or of possibly moving the town to higher ground east of its present location.  Pike County,It was reported on Thursday (August 5) that the U.S.  54 bridge approach on the Illinois side of the Mississippi River may be repaired by early next week, making the bridge useable.  Pedestrians  were allowed to cross the bridge.  In Louisiana, Missouri at 6 P.M.  Saturday (August 7) the U.S.  54 bridge to Pike County Illinois was reopened.  Illinois had closed the bridge July 1, 1993.  Thousands of acres of farmland remained under water due to the Sny Levee break in July, even though some water was returning to the main channel of the Mississippi.  Randolph County,As a wall of water from the levee break near Columbia, IL approached Prairie du Rocher August 1, it caused a flurry of activity in an attempt to save the town.  On Wednesday (August 4) dump trucks poured rocks on top of the levee at Prairie du Rocher.  Workers raised the levee at Prairie du Rocher to 52 feet.  The Army Corps of Engineers blasted holes in a levee southwest of town hoping to divert floodwater back into the Mississippi River.  On Thursday (August 5) the gamble to intentionally flood the bottom land northwest of Prairie du Rocher by blowing the Mississippi River levee paid off.  Although blowing the levee flooded 75 homes north of the levee at Prairie du Rocher these homes would have been flooded anyway with the approaching water from the Columbia levee break.  The Mississippi River crested August 5, with the levee protecting most of the town of Prairie du Rocher holding.  In Chester, on Monday (August 2) guards at the Menard Correctional Center moved 200 prisoners from low-level cells to higher ground.  In Evansville Friday (August 6) the Kaskaskia River caused flooding as it was backed up by the Mississippi River.  The city had been under a boil water order for about a month even though the water treatment plant was sandbagged and the water tests were satisfactory.  The backwater had flooded 6 businesses and 17 homes.  On Thursday (August 26) the Randolph County Sheriff said only 5 of the 162 houses on Kaskaskia Island remained standing.  The island had been flooded when the levee protecting the island blew in July.  The small town of Rockwood, in the southwest corner of Randolph County, reported that as of Saturday (August 28) all 30 homes had been flooded.  St. Clair County,The flood wall protecting East St. Louis held throughout the threat of flooding.  The only other potential problem was in the East Carondelet area where sandbagging stopped any major flooding.  The other problem in East Carondelet was involved the flooding at a propane tank farm across the river in Missouri.  If the tanks had exploded, the community would have been seriously affected.  The EMA officials said on August 31 that there had been no flooding serious in St.  Clair County. 
